pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
60,Csmith1,L,FF,10,37,1046.1,718.0,1073.5,591.5,129.4,19.99,27.4,4.70,arm-side,-4.70,126.5,21.71,high,-21.71,DM,,outside,1.233,1
61,Csmith1,L,FF,10,46,1054.6,701.7,1116.1,578.3,137.8,19.99,61.5,10.56,arm-side,-10.56,123.3,21.17,high,-21.17,DM,,outside,1.533,1
62,Csmith1,L,FF,10,42,1058.9,734.2,1059.4,716.6,17.7,3.03,0.5,0.09,arm-side,-0.09,17.7,3.03,high,-3.03,DM,MM,outside,1.400,0
63,Csmith1,L,FS,10,44,1085.7,716.8,1134.8,848.5,140.6,19.99,49.1,8.43,arm-side,-8.43,131.7,22.61,low,22.61,DM,,outside,1.467,1
64,Csmith1,L,FF,10,50,1157.6,735.2,1120.0,654.9,88.7,15.23,37.6,6.45,glove-side,6.45,80.3,13.79,high,-13.79,DM,UI,outside,1.667,0
65,Csmith1,L,FF,10,46,1050.9,716.1,1050.0,721.8,5.8,1.00,0.8,0.14,glove-side,0.14,5.8,0.99,low,0.99,DM,DM,outside,1.533,0
66,Csmith1,L,FF,10,42,1046.0,737.6,1120.8,719.9,76.9,13.20,74.8,12.84,arm-side,-12.84,17.7,3.04,high,-3.04,DM,,outside,1.400,0
67,Csmith1,L,FF,,,,,,,,,,,,,,,,,,,,,0
68,Csmith1,L,FF,10,45,1060.1,702.8,1142.6,609.1,124.8,19.99,82.4,14.15,arm-side,-14.15,93.7,16.09,high,-16.09,DM,,outside,1.500,1
69,Csmith1,L,FF,10,71,1155.8,711.5,1160.1,697.3,14.8,2.55,4.3,0.74,arm-side,-0.74,14.2,2.44,high,-2.44,DM,MM,outside,2.367,0
70,Csmith1,L,FS,10,57,1098.2,682.8,1048.5,678.0,49.9,8.57,49.7,8.53,glove-side,8.53,4.8,0.83,high,-0.83,DM,,outside,1.900,0
71,Csmith1,L,FF,10,55,1172.7,700.1,1094.5,695.9,78.3,13.45,78.2,13.43,glove-side,13.43,4.3,0.73,high,-0.73,DM,,outside,1.833,0
72,Csmith1,L,FF,10,67,1057.6,716.5,1117.0,662.8,80.1,13.75,59.3,10.19,arm-side,-10.19,53.8,9.23,high,-9.23,DM,,outside,2.233,0
73,Csmith1,L,FS,10,86,1093.0,723.0,1085.6,756.6,34.4,5.91,7.4,1.27,glove-side,1.27,33.6,5.77,low,5.77,DM,DM,outside,2.867,0
74,Csmith1,L,FF,10,67,1023.7,731.0,1170.5,544.0,237.8,19.99,146.8,25.21,arm-side,-25.21,187.0,32.11,high,-32.11,DM,,outside,2.233,1
75,Csmith1,L,FS,10,46,1085.0,708.1,1058.2,754.4,53.6,9.19,26.8,4.61,glove-side,4.61,46.3,7.96,low,7.96,DM,,outside,1.533,0
